,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
2288,5.0,7.0,87.0,0.58,26990.0,23300.0,32.0,233.0,115.83690987124464,49.71785485293648,14.0,6.008583690987124,0.6365835611240912,4.0,86.5333333333333,22500.0,18900.0,24.0,189.0,119.04761904761904,24.17188961878697,19.0,10.052910052910052,0.3054763329045638,2.0,88.33333333333326,0.28312767227819524,-0.14446091504734773,0.0,-0.14446091504734784,-0.4896521159979218,-0.5254771795079024,0.10979176295515784,-0.16452150422760697,-0.014307717450975931,0.18481898392585616,0.43410621262628957,-0.4710357154936041
2291,5.0,7.0,88.0,0.58,26990.0,22900.0,32.0,229.0,117.86026200873364,53.25045525789467,14.0,6.11353711790393,0.6477029246371757,4.0,86.5333333333333,22500.0,18800.0,24.0,188.0,119.6808510638298,25.51356525406364,19.0,10.106382978723405,0.3071012070157584,2.0,88.33333333333326,0.28312767227819524,-0.12793010467956475,0.0,-0.12793010467956487,-0.3617707606401718,-0.3326963565644548,0.10979176295515784,-0.06411666712190507,-0.0025869086343893676,0.18481898392585616,0.43410621262628957,-0.005186270534551896
2312,5.0,7.0,95.0,0.58,26140.0,20300.0,32.0,203.0,128.76847290640393,54.39396026091333,13.0,6.403940886699508,0.561662770984797,4.0,130.83333333333326,22500.0,17200.0,24.0,172.0,130.8139534883721,27.82789674927766,19.0,11.046511627906977,0.3356687611567592,3.0,88.33333333333326,0.1931282252189335,-0.02047983728897552,0.0,-0.020479837288975546,0.3276578209083722,-0.2702930812852922,0.04803389629288159,0.2137012560976455,-0.09328096592665934,0.18481898392585616,-0.16402123919067194,0.39878522146311446
2315,5.0,7.0,96.0,0.58,26140.0,20400.0,32.0,204.0,128.1372549019608,55.79575012030557,13.0,6.372549019607843,0.5589095221074206,4.0,130.83333333333326,22500.0,17000.0,24.0,170.0,132.35294117647058,29.493220765981278,19.0,11.176470588235295,0.339617805405662,3.0,88.33333333333326,0.1931282252189335,-0.024612539880921262,0.0,-0.024612539880921287,0.2877631271282885,-0.19379470283633943,0.04803389629288159,0.18366988509457258,-0.09618313777113915,0.18481898392585616,-0.16402123919067194,0.39418995810053925
2324,5.0,7.0,99.0,0.58,23790.0,19300.0,32.0,193.0,123.26424870466322,66.63352714562832,12.0,6.217616580310881,0.5907644689632839,3.0,126.16666666666674,22500.0,16400.0,24.0,164.0,137.19512195121953,28.739644351966653,19.0,11.585365853658535,0.3520428470668453,3.0,88.33333333333326,-0.05569377547431963,0.020847188630481878,0.0,0.020847188630481888,-0.02022411129205225,0.3976437091863867,-0.013723970369394678,0.035452082332102,-0.06260515990210486,-0.08346663790199949,-0.10101308023328145,0.13806343360630016
2338,5.0,7.0,104.0,0.54,26990.0,23000.0,32.0,230.0,117.34782608695652,54.55513224280797,14.0,6.086956521739131,0.6448868249648403,4.0,86.5333333333333,22500.0,19100.0,24.0,191.0,117.80104712041886,24.850737213775965,19.0,9.947643979057592,0.3022776278479715,2.0,88.33333333333326,0.28312767227819524,-0.13206280727151049,0.0,-0.1320628072715106,-0.39415810389925543,-0.26149761512912423,0.10979176295515784,-0.08954528347584874,-0.005555330867285633,0.18481898392585616,0.43410621262628957,-0.0030373161290363493
2370,5.0,7.0,115.0,0.5,28820.0,25000.0,32.0,250.0,115.28,46.378223267127,15.0,6.0,0.6324555320336759,4.0,116.86666666666632,22500.0,20300.0,24.0,203.0,110.83743842364532,20.515330938578547,19.0,9.35960591133005,0.2844089996008008,2.0,88.33333333333326,0.4768911877116647,-0.2147168591104253,0.0,-0.21471685911042548,-0.5248503337610728,-0.7077273215099962,0.1715496296174341,-0.17273318554803735,-0.018659031238058336,0.18481898392585616,0.02455317940324227,-0.9955906096198184
2407,5.0,7.0,127.0,0.54,22250.0,17400.0,32.0,174.0,127.8735632183908,75.99419562931935,11.0,6.321839080459771,0.7493336097934078,2.0,126.16666666666674,22500.0,15200.0,24.0,152.0,148.0263157894737,31.30287250522217,19.0,12.5,0.3798357034142272,3.0,88.33333333333326,-0.21875159720521742,0.09936853787745094,0.0,0.09936853787745101,0.27109709590875636,0.9084734568855493,-0.07548183703167094,0.1351576703973039,0.10454097051203678,-0.35175225972985513,-0.10101308023328145,0.8710074952585232
2418,5.0,7.0,131.0,0.5,24640.0,21500.0,32.0,215.0,114.6046511627907,62.20444119602016,13.0,6.046511627906977,0.7053837622373537,3.0,81.86666666666679,22500.0,17700.0,24.0,177.0,127.1186440677966,27.537710103870303,19.0,10.734463276836156,0.3261865927625008,2.0,88.33333333333326,0.03430567158494213,-0.0700722683923244,0.0,-0.07007226839232447,-0.5675342161369724,0.15593993961926858,0.04803389629288159,-0.12823733095128542,0.05821387992663886,-0.08346663790199949,0.49711437158368005,-0.12577496276749506
2419,5.0,7.0,131.0,0.54,20610.0,16300.0,32.0,163.0,126.44171779141104,60.13258065399707,10.0,6.134969325153374,0.6134969325153374,3.0,166.0,21510.0,14400.0,24.0,144.0,149.375,30.20349801038288,18.0,12.5,0.0,3.0,75.0,-0.3923975891783813,0.14482826638885407,0.0,0.14482826638885418,0.1806005726035223,0.04287451060706832,-0.1372397036939472,-0.04361331300654262,-0.03864309958182579,-0.08346663790199949,-0.6388327227624525,-0.8210614501368501
2427,5.0,7.0,134.0,0.5,24640.0,21000.0,32.0,210.0,117.33333333333331,61.68248331194266,13.0,6.190476190476191,0.7221786137191952,3.0,81.86666666666679,22500.0,17600.0,24.0,176.0,127.84090909090908,26.959166817647283,19.0,10.795454545454543,0.3280399256759238,3.0,88.33333333333326,0.03430567158494213,-0.0494087554325957,0.0,-0.04940875543259575,-0.39507408532525723,0.12745569036960785,0.04803389629288159,0.009487933276756122,0.07591716331061958,-0.08346663790199949,0.49711437158368005,0.2149564923260392
2918,6.0,7.0,129.0,0.58,20470.0,11300.0,21.0,113.0,181.1504424778761,71.87173529462378,7.0,6.1946902654867255,0.484710227880678,5.0,0.0,6440.0,8700.0,14.0,87.0,74.02298850574712,59.47645382561726,5.0,5.747126436781609,2.392719539616244,1.0,15.0,0.0,-0.07183770053760107,0.0,-0.07183770053760112,-0.2456288224653923,-0.31086136949690035,0.0,-0.09218619039014773,-0.05261717238348571,0.0,0.0,-0.8449689558111283
2924,6.0,7.0,131.0,0.58,20470.0,11500.0,21.0,115.0,178.0,70.21265543350809,7.0,6.086956521739131,0.4762804847871009,5.0,0.0,6440.0,9100.0,14.0,91.0,70.76923076923077,57.67756707744965,5.0,5.494505494505495,2.287545054358388,1.0,15.0,0.0,-0.14367540107520213,0.0,-0.14367540107520224,-0.4707001049759217,-0.4775700082471547,0.0,-0.17665699431542212,-0.10083062857141958,0.0,0.0,-1.5131085382603224
2927,6.0,7.0,132.0,0.58,20470.0,11000.0,21.0,110.0,186.0909090909091,76.56432936046558,7.0,6.363636363636363,0.4979295977319691,5.0,0.0,6440.0,8900.0,14.0,89.0,72.35955056179775,59.30037210289365,5.0,5.617977528089887,2.338950561197902,1.0,15.0,0.0,0.03591885026880053,0.0,0.03591885026880056,0.10732387056248245,0.1606626283882502,0.0,0.04027938849266942,0.022990293002135884,0.0,0.0,0.4030938809831391
2930,6.0,7.0,133.0,0.58,20470.0,10600.0,21.0,106.0,193.1132075471698,81.21295683478691,7.0,6.60377358490566,0.5167193938727982,5.0,0.0,6440.0,8500.0,14.0,85.0,75.76470588235294,59.30037210289365,5.0,5.88235294117647,2.4490188229013325,1.0,15.0,0.0,0.17959425134400267,0.0,0.17959425134400278,0.6090050568788317,0.6277687493558077,0.0,0.2285637962129004,0.1304575079527694,0.0,0.0,1.9549836130883147
