,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
92,1.0,5.0,99.0,129800.0,136900.0,401.0,1369.0,94.81373265157049,13.805697589481372,189.0,0.54
97,1.0,5.0,100.0,126560.0,136400.0,401.0,1364.0,92.78592375366568,13.636363636363635,186.0,0.54
102,1.0,5.0,101.0,131130.0,134200.0,401.0,1342.0,97.7123695976155,14.232488822652755,191.0,0.54
107,1.0,5.0,102.0,123590.0,128000.0,401.0,1280.0,96.5546875,14.296875,183.0,0.54
112,1.0,5.0,103.0,117570.0,123700.0,401.0,1237.0,95.04446240905416,14.06628940986257,174.0,0.54
117,1.0,5.0,104.0,113490.0,120100.0,401.0,1201.0,94.496253122398,13.98834304746045,168.0,0.54
122,1.0,5.0,105.0,111550.0,118700.0,401.0,1187.0,93.97641112047178,13.984835720303284,166.0,0.54
127,1.0,5.0,106.0,112920.0,115600.0,401.0,1156.0,97.68166089965398,14.446366782006919,167.0,0.54
132,1.0,5.0,107.0,109540.0,113300.0,401.0,1133.0,96.68137687555162,14.298323036187114,162.0,0.54
137,1.0,5.0,108.0,106140.0,110600.0,401.0,1106.0,95.96745027124774,14.37613019891501,159.0,0.54
142,1.0,5.0,109.0,100070.0,108200.0,401.0,1082.0,92.48613678373383,14.140480591497228,153.0,0.54
147,1.0,5.0,110.0,98840.0,105800.0,401.0,1058.0,93.42155009451795,14.272211720226844,151.0,0.54
152,1.0,5.0,111.0,95130.0,104700.0,401.0,1047.0,90.85959885386819,14.040114613180515,147.0,0.54
157,1.0,5.0,112.0,95520.0,101400.0,401.0,1014.0,94.20118343195266,14.497041420118343,147.0,0.54
162,1.0,5.0,113.0,90480.0,97600.0,401.0,976.0,92.70491803278689,14.446721311475411,141.0,0.54
167,1.0,5.0,114.0,90430.0,98200.0,401.0,982.0,92.08757637474541,14.358452138492872,141.0,0.54
172,1.0,5.0,115.0,88820.0,94200.0,401.0,942.0,94.28874734607218,14.64968152866242,138.0,0.54
177,1.0,5.0,116.0,84330.0,92800.0,401.0,928.0,90.8728448275862,14.331896551724139,133.0,0.54
182,1.0,5.0,117.0,79840.0,89300.0,401.0,893.0,89.40649496080627,14.55767077267637,130.0,0.54
187,1.0,5.0,118.0,83380.0,84700.0,401.0,847.0,98.44155844155844,15.348288075560804,130.0,0.54
192,1.0,5.0,119.0,76280.0,84000.0,401.0,840.0,90.80952380952381,14.523809523809526,122.0,0.54
197,1.0,5.0,120.0,77400.0,83400.0,401.0,834.0,92.80575539568345,14.86810551558753,124.0,0.54
202,1.0,5.0,121.0,72850.0,78500.0,401.0,785.0,92.80254777070064,15.159235668789808,119.0,0.54
