racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3683,3,1,43,0.390,0.15
3684,3,1,42,0.372,0.18
3685,3,1,42,0.457,0.15
3686,3,1,41,0.336,0.16
3687,3,1,47,0.433,0.15
3690,3,1,46,0.373,0.19
3691,2,1,46,0.262,0.17
3692,2,1,45,0.278,0.17
3693,2,0,45,0.320,0.16
3694,2,1,45,0.293,0.17
3695,2,1,45,0.148,0.20
3696,3,1,44,0.395,0.20
3697,2,1,44,0.309,0.19
3698,2,1,44,0.195,0.19
3699,3,1,44,0.374,0.15
3701,2,1,43,0.223,0.15
3702,2,1,43,0.291,0.20
3703,4,1,43,0.460,0.19
3704,2,0,43,0.258,0.18
3705,2,1,42,0.319,0.18
3707,2,0,42,0.169,0.21
3708,3,1,42,0.409,0.18
3709,2,1,42,0.184,0.18
3710,2,1,42,0.383,0.16
3711,3,1,42,0.382,0.19
3712,3,1,42,0.404,0.18
3713,4,1,42,0.477,0.16
3714,2,1,42,0.263,0.16
3715,2,1,42,0.197,0.17
3716,4,1,42,0.478,0.13
3717,2,1,41,0.396,0.15
3718,3,1,41,0.410,0.18
3719,4,1,41,0.496,0.15
3721,4,1,41,0.580,0.11
3722,2,1,46,0.207,0.17
3723,2,1,46,0.224,0.16
3725,2,1,45,0.123,0.22
3726,3,1,45,0.318,0.17
3727,2,1,45,0.114,0.18
3729,2,1,45,0.247,0.20
3730,2,1,44,0.325,0.18
3731,3,1,43,0.453,0.17
3734,3,1,43,0.383,0.15
3736,3,1,43,0.387,0.16
3737,4,1,43,0.568,0.17
3740,3,1,42,0.391,0.16
3741,2,1,42,0.269,0.18
3742,3,1,42,0.320,0.18
3743,4,1,42,0.569,0.14
3744,4,1,42,0.592,0.13
3745,3,1,42,0.424,0.16
3746,4,1,41,0.471,0.17
3747,3,1,41,0.420,0.15
3748,2,1,41,0.178,0.17
3750,2,1,46,0.119,0.20
3752,2,1,45,0.281,0.18
3753,2,1,45,0.261,0.18
3755,2,1,45,0.214,0.20
3757,3,1,45,0.419,0.15
3759,2,1,44,0.240,0.20
3761,2,1,44,0.355,0.17
3762,2,1,44,0.188,0.20
3764,1,1,44,0.125,0.15
3768,1,1,43,0.088,0.25
