,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
118,0.0,0.0,0.0,0.0,0.0,89,2020-04-19,2020,4,19,6,6,sp,0,0,39270.0
119,0.0,0.0,0.0,0.0,0.0,13,2020-04-19,2020,4,19,6,6,sp,0,0,1000.0
120,0.0,0.0,0.0,0.0,0.0,24,2020-04-19,2020,4,19,6,6,sp,0,0,4530.0
121,0.0,0.0,0.0,0.0,0.0,6,2020-04-19,2020,4,19,6,6,sp,0,0,860.0
122,0.0,0.0,0.0,0.0,0.0,20,2020-04-19,2020,4,19,6,6,sp,0,0,8170.0
123,0.0,0.0,1.0,0.0,0.0,10,2020-04-19,2020,4,19,6,6,sp,0,1,1500.0
124,0.0,1.0,0.0,0.0,0.0,97,2020-04-19,2020,4,19,6,6,sp,0,1,48300.0
125,0.0,0.0,0.0,0.0,0.0,6,2020-04-23,2020,4,23,1,7,sp,0,0,840.0
126,0.0,0.0,0.0,0.0,0.0,101,2020-04-23,2020,4,23,1,7,sp,0,0,10870.0
127,0.0,0.0,0.0,0.0,0.0,14,2020-04-23,2020,4,23,1,7,sp,0,0,7930.0
128,0.0,0.0,0.0,0.0,0.0,76,2020-04-23,2020,4,23,1,7,sp,0,0,2630.0
129,0.0,0.0,0.0,0.0,0.0,73,2020-04-23,2020,4,23,1,7,sp,0,0,12130.0
130,0.0,0.0,0.0,0.0,0.0,22,2020-04-23,2020,4,23,1,7,sp,0,0,850.0
131,0.0,0.0,0.0,0.0,0.0,73,2020-04-23,2020,4,23,1,7,sp,0,0,10680.0
132,0.0,0.0,0.0,0.0,0.0,56,2020-04-23,2020,4,23,1,7,sp,0,0,2650.0
133,0.0,0.0,0.0,0.0,0.0,1,2020-04-23,2020,4,23,1,7,sp,0,0,2480.0
134,0.0,0.0,0.0,0.0,0.0,22,2020-04-23,2020,4,23,1,7,sp,0,0,4220.0
135,0.0,1.0,1.0,0.0,0.0,5,2020-04-23,2020,4,23,1,7,sp,0,2,1380.0
136,0.0,0.0,0.0,0.0,0.0,10,2020-04-24,2020,4,24,2,7,sp,0,0,1120.0
137,0.0,0.0,0.0,0.0,0.0,22,2020-04-24,2020,4,24,2,7,sp,0,0,3990.0
138,0.0,0.0,0.0,0.0,0.0,14,2020-04-24,2020,4,24,2,7,sp,0,0,10190.0
139,0.0,0.0,0.0,0.0,0.0,12,2020-04-24,2020,4,24,2,7,sp,0,0,20060.0
