,target_com,depth,target_per,total_get_test1,total_use_test1,num_com_test1,num_pred_test1,gain_test1,gain_std_test1,num_hit_test1,buy_hit_per_test1,buy_hit_per_std_test1,plus_month_num_test1,diff_mea_med_test1,total_get_test2,total_use_test2,num_com_test2,num_pred_test2,gain_test2,gain_std_test2,num_hit_test2,buy_hit_per_test2,buy_hit_per_std_test2,plus_month_num_test2,diff_mea_med_test2,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
620,4.0,7.0,113.0,2087810.0,2496000.0,70.0,1147.0,83.64623397435898,36.0923241548679,55.0,4.795117698343505,0.1597171233689151,5.0,5192.398809523802,1312390.0,2239600.0,54.0,1075.0,58.599303447044115,40.4070649880518,35.0,3.255813953488372,0.08375224533753674,2.0,5992.15277777777,1927640.0,2539800.0,60.0,1161.0,75.89731474919284,60.18658961152276,40.0,3.4453057708871664,0.165611589582808,4.0,7838.708333333336
621,4.0,7.0,114.0,2330380.0,2727400.0,70.0,1147.0,85.44327931363202,39.32010416452059,55.0,4.795117698343505,0.1597171233689151,5.0,6313.8194444444525,1382990.0,2377200.0,54.0,1075.0,58.177267373380445,40.73245635245964,33.0,3.0697674418604652,0.09816648428113234,3.0,2704.6527777777737,1997090.0,2667400.0,60.0,1161.0,74.87028567144036,61.287836222188695,39.0,3.359173126614987,0.1766148863619131,5.0,8370.202380952374
622,4.0,7.0,115.0,2350160.0,2717400.0,70.0,1147.0,86.48561124604402,37.34410695253388,54.0,4.707933740191804,0.15100704512370333,5.0,6879.049603174608,1396910.0,2304200.0,54.0,1075.0,60.62451176113185,42.046704433574604,37.0,3.441860465116279,0.10080229483263552,2.0,4478.180555555558,1861940.0,2577100.0,60.0,1161.0,72.24942765123589,56.3025068941938,41.0,3.5314384151593456,0.17405046874794922,3.0,9128.182539682537
623,4.0,7.0,116.0,2168480.0,2544300.0,70.0,1147.0,85.2289431277758,34.33054131338945,55.0,4.795117698343505,0.1597171233689151,5.0,5308.890873015873,1308900.0,2263800.0,54.0,1075.0,57.81871190034455,45.30273519469867,34.0,3.1627906976744184,0.11788878740705559,3.0,4608.124999999996,1829250.0,2536600.0,60.0,1161.0,72.11424741780336,54.86980606069938,42.0,3.6175710594315245,0.17804114009712746,3.0,7802.579365079364
624,4.0,7.0,117.0,2359850.0,2658800.0,70.0,1147.0,88.75620580713104,37.952712770913315,55.0,4.795117698343505,0.1597171233689151,5.0,5483.619047619046,1342150.0,2312000.0,54.0,1075.0,58.0514705882353,42.21028192872355,37.0,3.441860465116279,0.1008022948326355,3.0,4110.361111111106,1848670.0,2552500.0,60.0,1161.0,72.4258570029383,59.81323189666959,41.0,3.5314384151593456,0.18163513677461407,2.0,7275.700396825399
625,4.0,7.0,118.0,2274590.0,2648800.0,70.0,1147.0,85.8724705527031,42.22653319425874,54.0,4.707933740191804,0.15989728938600312,5.0,5241.9464285714275,1338120.0,2322200.0,54.0,1075.0,57.62294376022737,38.35968870039492,35.0,3.255813953488372,0.1008022948326355,2.0,3761.4583333333394,1924880.0,2631100.0,60.0,1161.0,73.1587548933906,59.45681004049408,41.0,3.5314384151593456,0.17788323218127336,4.0,7500.033730158728
626,4.0,7.0,119.0,2279980.0,2666000.0,70.0,1147.0,85.52063015753939,36.167476304754835,54.0,4.707933740191804,0.15100704512370333,5.0,6343.174603174601,1278120.0,2288600.0,54.0,1075.0,55.84724285589443,41.32388006321922,35.0,3.255813953488372,0.09267022510656948,3.0,3390.625,1906670.0,2639000.0,60.0,1161.0,72.24971580143993,54.862034262273475,41.0,3.5314384151593456,0.18163513677461407,4.0,6497.261904761908
627,4.0,7.0,120.0,2351590.0,2750900.0,70.0,1147.0,85.4843869279145,38.93615676284731,54.0,4.707933740191804,0.15989728938600312,5.0,7044.357142857145,1431070.0,2445500.0,54.0,1075.0,58.51850337354324,41.59481861514196,35.0,3.255813953488372,0.1008022948326355,2.0,3606.7361111111095,2023590.0,2732800.0,60.0,1161.0,74.04822892271663,58.61117559773927,40.0,3.4453057708871664,0.18117039792319345,4.0,7967.378968253965
628,4.0,7.0,121.0,2234830.0,2606500.0,70.0,1147.0,85.74064837905236,39.44457832215197,55.0,4.795117698343505,0.1597171233689151,5.0,6976.295634920636,1318590.0,2275500.0,54.0,1075.0,57.947264337508244,43.77029665257322,34.0,3.1627906976744184,0.10368752167864423,3.0,2519.1666666666642,1885610.0,2472400.0,60.0,1161.0,76.26638084452354,57.96860281339897,41.0,3.5314384151593456,0.17405046874794922,3.0,9550.658730158728
629,4.0,7.0,122.0,2353670.0,2760000.0,70.0,1147.0,85.27789855072464,36.624975493416535,55.0,4.795117698343505,0.1597171233689151,5.0,5999.291666666664,1413560.0,2500700.0,54.0,1075.0,56.52657255968329,40.96841019830245,36.0,3.3488372093023258,0.0886941943484272,3.0,4825.208333333336,2074950.0,2773700.0,60.0,1161.0,74.80801817067456,55.77185972180451,41.0,3.5314384151593456,0.17788323218127336,3.0,9017.85912698412
