,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,240.0,12,4166,3473,3568,3212,4371,3454,1
,230.0,1,3777,3370,4574,4180,4951,4639,2
,280.0,2,4713,4892,4200,4154,3234,4946,1
,6140.0,3,3843,3658,3684,4821,3584,4411,6
,12030.0,5,3454,4015,4890,3006,4574,4951,5
,920.0,6,3212,3747,3273,3370,4946,3462,5
,550.0,7,4821,4180,3036,4200,3658,4892,3
,360.0,8,4600,4411,3234,3568,4463,4774,1
,270.0,9,3584,4111,4639,4890,4957,3282,1
,1560.0,10,4154,4631,3212,4015,3454,3684,16
,9280.0,11,3568,3843,3777,3747,4371,4713,26
,620.0,1,4174,4562,3965,4790,3662,4567,4
,1070.0,2,4152,3627,4596,4287,4948,4202,6
,210.0,3,4084,4213,3743,4932,3497,4971,2
,240.0,4,4136,4040,3793,3918,4059,4969,1
,720.0,5,4237,4460,4375,4828,4571,4051,2
,350.0,6,4772,4366,3761,4513,4567,4850,1
,1740.0,7,3662,4202,3227,4346,4213,4970,4
,800.0,8,4260,4505,4948,3849,4095,4932,4
,1730.0,9,4790,3918,4051,4516,4596,4057,11
,2390.0,10,4059,4571,3497,4483,4772,3965,8
,3800.0,11,3849,4346,4237,4152,4084,4513,21
,410.0,12,3743,4287,4366,4174,4136,4460,1
,2350.0,1,4460,4932,4562,4040,4202,3793,4
,1260.0,2,4057,3965,4095,4571,3627,4970,13
,1470.0,3,3761,4516,4287,4213,4051,4346,13
,1520.0,4,4366,4375,3662,4505,4152,4790,4
,12730.0,5,4483,4174,4850,4567,3849,4040,26
,1370.0,6,3227,4136,4772,4237,4971,4260,20
,270.0,7,3627,4828,4516,4596,4562,4969,1
,520.0,8,3497,3793,4057,4375,3743,4948,1
,2300.0,9,4850,4260,4084,4366,4970,4059,16
,1330.0,10,4051,4513,3849,4460,3227,3918,11
,9100.0,11,4571,3497,4136,3761,4174,4828,26
,2580.0,12,4287,4095,4483,3743,4505,4237,26
,1430.0,2,4057,4596,4932,4136,4971,3662,20
,350.0,3,4505,4948,4174,4562,4287,4772,2
,260.0,4,4460,4213,4828,4084,3918,4516,2
,420.0,5,4513,3743,4567,3793,4969,3761,6
,1060.0,6,4202,4483,4152,4260,4346,3497,3
,260.0,7,4095,4772,4040,3965,4850,4971,2
,600.0,8,3918,4237,4505,4059,4790,4932,7
,4460.0,9,4596,3761,4571,4970,4460,4375,5
,770.0,10,3849,4152,4287,3627,4057,4213,3
,360.0,11,4084,4051,4136,3743,4040,4483,2
,2670.0,12,4174,3662,4260,4095,4366,4571,6
,230.0,1,4136,4850,3627,4202,3793,4969,2
,4360.0,2,4260,4516,4932,4051,4970,4095,13
,880.0,3,3918,4567,4513,4948,4366,4596,14
,500.0,4,4287,3227,4790,4772,4483,3849,4
,650.0,5,3497,4460,4213,4850,4174,4562,6
,290.0,6,4828,4505,4059,4057,3761,3793,1
,280.0,7,4375,4346,4202,3662,4516,4948,3
,770.0,8,4051,3965,3743,4971,4237,4567,14
,2120.0,9,4040,4084,4174,3227,4513,4505,4
,940.0,10,4571,4562,3918,4136,4828,4152,2
,690.0,11,4237,4059,4460,4287,4260,3627,5
,290.0,12,3743,3849,4366,3497,4375,4084,2
,350.0,1,4287,4596,3965,4969,3662,4850,1
,260.0,2,4174,4790,4040,4483,4970,4516,3
,1920.0,3,3761,4346,4237,3627,3743,4213,3
,250.0,4,4136,3497,4095,4202,4057,4971,2
,3790.0,5,4460,4571,4375,4948,4059,4562,3
,570.0,7,4567,3793,4828,4213,4932,4970,11
,21980.0,8,4505,3849,4346,4513,3965,4790,29
,8540.0,10,3662,3627,4174,4571,4095,4084,9
,2610.0,11,3743,4040,4136,4460,4505,4051,7
,620.0,12,4237,4828,4366,4287,4260,3497,3
,260.0,1,4460,4772,4596,4567,4971,3965,2
,7860.0,2,4174,3662,4516,4059,4932,4948,19
,1230.0,3,4260,4375,4366,4850,4513,4202,4
,410.0,4,3743,3227,4562,3497,3793,4970,2
,3680.0,5,4152,4084,4567,4346,4505,3761,14
,590.0,6,4571,4828,3849,4057,4948,4971,6
,850.0,7,4932,4850,4790,4516,4772,4375,6
,730.0,8,4513,4059,4213,4051,4562,4596,16
,810.0,9,3849,4202,3918,4152,4483,3227,4
,770.0,10,4084,3743,4460,4260,4828,3662,6
,370.0,12,4237,3627,4040,4136,4287,4095,3
,1450.0,1,4123,4251,3704,4886,3305,3680,4
,300.0,2,3070,4145,4021,4050,3498,4756,2
,540.0,3,3771,4007,4544,4151,3906,3474,11
,810.0,4,3792,4224,3164,4686,4570,4977,16
,1200.0,5,3507,4885,3772,4265,3828,3704,7
,770.0,6,4021,3463,3344,3445,4251,4551,6
,2770.0,8,3802,4677,4925,3771,4977,4153,5
,760.0,9,4886,4551,4467,4145,4417,4686,2
,3730.0,10,3906,4615,3070,3507,3164,3463,4
,210.0,11,3445,3828,4570,3702,3802,4007,1
,380.0,12,4544,4050,3792,4123,4677,4885,3
,2900.0,1,4050,4417,4153,4615,4224,4977,21
,1130.0,2,4551,3344,4265,4677,4923,4886,2
,10960.0,3,4570,4151,4686,3474,3070,4021,8
,200.0,4,4885,3583,3463,3704,4145,4925,2
,180.0,5,3828,4544,4756,4417,3507,3802,1
,6290.0,6,4153,4123,3906,3680,4265,3771,28
,280.0,7,3474,3772,3498,3164,4615,3344,1
,5050.0,8,4467,3792,4224,4007,3583,4923,19
,910.0,9,3680,3802,4050,4251,4925,3445,7
,1790.0,10,3463,3070,3305,3828,4123,3702,9
,390.0,11,4686,3498,4885,4551,3792,3906,3
,4630.0,12,4677,3771,3445,4544,4467,3772,13
,4150.0,1,4885,4021,4151,3772,4007,4145,5
,340.0,2,4050,3704,3474,3802,4224,4923,2
,350.0,3,4551,3164,4123,4977,4544,4251,4
,230.0,4,3828,3463,4686,3498,4756,4615,2
,1540.0,5,3792,3906,4145,3583,3680,4570,4
,1760.0,6,3771,4265,3702,4467,3344,3507,11
,30920.0,7,3305,4886,4251,4153,4021,4417,27
,2610.0,9,4677,3507,4007,4570,3704,3498,18
,10100.0,11,3445,3828,4886,3792,3771,4050,20
,510.0,12,4544,3070,4885,4686,3474,3305,2
,1430.0,1,3828,3583,4417,3164,4925,4923,4
,380.0,2,4570,3702,3474,3771,3680,4615,3
,590.0,3,3445,4145,4677,4021,3507,4265,1
,280.0,4,3070,4007,4886,3344,3772,4756,1
,360.0,5,3463,4686,3704,4923,4467,4417,6
,670.0,6,4551,3680,3305,4151,4153,3583,2
,330.0,7,4224,4265,3498,4925,3702,4977,4
,6730.0,8,3906,3772,4615,4251,4007,4677,22
,680.0,9,4467,4021,3344,4153,4570,3164,4
,1150.0,10,4686,3445,3463,3474,4886,4551,5
,520.0,11,3771,3906,3070,3828,4224,3305,1
,470.0,12,4544,3792,3802,4885,4123,4050,3
,480.0,1,3999,3753,4693,4071,4248,4077,3
,360.0,2,3804,3970,4360,3302,3943,4389,1
,270.0,3,4543,3325,4885,3338,4080,4499,2
,190.0,4,3319,3746,3697,3280,4591,4921,1
,390.0,5,3334,3290,3666,3309,4693,3475,6
,1030.0,6,4360,3712,3800,4090,4071,4851,7
,440.0,7,3881,3293,3943,4932,3338,4496,1
,380.0,8,4094,4076,4271,3753,4921,3837,6
,900.0,9,3666,4851,4078,3804,3325,3697,3
,320.0,10,3746,4248,3334,4543,3866,3800,3
,3830.0,11,4080,3837,3475,3881,3970,3712,12
,240.0,12,3290,3302,3319,3999,4076,4885,2
,1150.0,2,3475,3280,4496,3290,3293,4090,2
,540.0,3,3800,3338,3302,3866,3999,3881,4
,5520.0,4,4885,4071,4094,4077,4271,4360,7
,170.0,5,3837,3319,4248,4078,3753,4543,1
,580.0,6,4496,3804,4080,4076,4932,3746,2
,270.0,7,4389,3866,4499,4693,3280,4921,2
,310.0,8,4851,4271,3309,3943,3800,3334,1
,2190.0,9,4077,3999,3325,3293,3837,3804,3
,1870.0,10,3697,4080,4543,3970,3290,4591,6
,350.0,11,3302,4090,3712,4885,3746,3666,1
,640.0,12,4076,3475,4389,3334,3319,4094,4
,470.0,1,4076,4077,3338,3325,4389,3753,3
,1150.0,2,3475,3666,4693,3697,4496,4248,19
,350.0,3,4885,4499,3999,3280,3334,3943,2
,520.0,4,3302,3309,4080,3712,4094,4921,3
,290.0,5,3804,3290,4090,3338,4360,3970,1
,21040.0,6,3800,3837,3881,3319,4077,4693,14
,6150.0,7,3293,4078,3753,4591,4071,4271,13
,540.0,8,4851,3943,3746,4248,4921,3325,3
,260.0,9,3697,3881,3866,4360,4543,4932,1
,16380.0,10,3712,3475,3837,3800,4080,4090,15
,660.0,11,3319,3804,4071,4389,3999,3666,4
,3560.0,1,4885,3309,3280,3970,4078,3881,19
,2830.0,3,4543,3338,4851,4271,3800,4921,21
,6220.0,4,3712,4389,3293,3666,3753,3866,21
,1970.0,5,3302,3334,4078,4360,3804,3309,16
,220.0,6,4094,3943,3881,4591,4499,4496,2
,2030.0,7,4071,4248,3970,3325,4932,3338,16
,420.0,8,3746,4271,3753,4921,3475,3280,2
,2100.0,9,3334,4543,4077,4094,4885,3293,9
,320.0,10,3804,4851,3800,4389,4080,4499,1
,300.0,11,3475,3302,3666,3712,4496,4071,1
,430.0,12,3319,3290,3837,4076,3999,4090,2
,440.0,1,4545,3503,4126,3741,3460,3945,2
,2690.0,3,3488,3592,3679,4931,3919,4943,18
,1730.0,4,3489,4684,3975,3696,4105,4952,16
,6170.0,5,4131,3901,3460,4561,4112,3614,5
,30620.0,6,4661,3458,3268,3503,3703,4410,29
,4110.0,7,3741,3335,4475,3592,3189,5041,17
,2430.0,8,3882,3539,3868,4043,4435,4931,24
,1140.0,9,4105,4579,4410,4549,4329,3577,7
,360.0,10,3919,3757,4131,4661,4200,3975,2
,5580.0,11,3265,4112,3945,3488,3268,4475,19
,610.0,12,3703,3489,4043,4545,3679,3901,2
,2940.0,1,3901,3189,4200,4329,4549,4661,5
,970.0,2,4579,4435,3335,3489,4952,4126,16
,5730.0,3,3975,3868,3919,4660,4545,3592,19
,650.0,4,4112,3460,3703,3945,4943,5041,1
,200.0,5,3757,3679,4105,4684,4131,3189,1
,210.0,7,3696,4200,4561,4952,3539,4660,2
,240.0,8,3577,4126,4112,3975,3503,4549,2
,870.0,9,3614,4931,3901,3757,3265,3741,2
,900.0,10,3268,4545,3488,4435,4684,3458,3
,330.0,11,3679,3882,3489,3577,4561,3868,2
,6770.0,12,4043,4131,3696,3703,4579,3919,17
,550.0,1,3488,3741,3539,3335,5041,4105,5
,760.0,2,3577,3945,4435,3901,4931,4200,11
,310.0,3,3882,4661,4545,4943,3975,3696,2
,310.0,4,3703,3592,4329,4410,4660,4561,2
,310.0,5,3757,4043,3503,3189,3489,5041,1
,1620.0,6,3868,3265,4579,3539,4952,3268,28
,420.0,7,4435,3614,3741,3460,4126,4684,2
,31590.0,8,4131,3696,3458,4200,3592,3679,24
,1750.0,9,4329,3919,4943,4112,4043,4931,24
