racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3661,3,1,46,0.325,0.21
3662,4,1,46,0.479,0.16
3663,3,1,45,0.421,0.16
3664,4,1,45,0.482,0.16
3666,2,1,45,0.274,0.18
3667,1,1,44,0.000,0.00
3668,2,1,44,0.223,0.20
3670,2,1,44,0.192,0.20
3671,2,1,43,0.164,0.19
3673,2,1,43,0.196,0.24
3674,3,0,43,0.385,0.15
3675,1,1,43,0.106,0.23
3676,1,0,43,0.069,0.26
3678,2,1,42,0.191,0.18
3679,4,1,42,0.503,0.15
3680,3,1,42,0.369,0.22
3681,3,1,42,0.364,0.17
3682,2,1,42,0.207,0.19
3683,3,1,42,0.310,0.15
3684,3,1,41,0.405,0.19
3685,3,1,41,0.457,0.16
3686,3,1,40,0.446,0.14
3687,3,1,46,0.416,0.15
3688,2,1,45,0.145,0.22
3690,3,1,45,0.361,0.18
3691,2,1,45,0.276,0.17
3692,3,1,44,0.418,0.15
3693,2,0,44,0.243,0.17
3694,2,1,44,0.211,0.17
3695,2,1,44,0.173,0.21
3696,3,1,43,0.341,0.18
3697,4,1,43,0.614,0.13
3698,2,1,43,0.101,0.20
3699,3,1,43,0.433,0.18
3701,2,1,42,0.214,0.15
3702,3,1,42,0.375,0.17
3703,1,1,42,0.727,0.22
3704,3,0,42,0.323,0.19
3705,2,1,41,0.263,0.20
3707,2,0,41,0.158,0.21
3708,3,1,41,0.353,0.18
3709,2,1,41,0.180,0.19
3710,2,1,41,0.298,0.18
3711,3,1,41,0.398,0.16
3712,4,1,41,0.468,0.17
3713,4,1,41,0.479,0.15
3714,2,1,41,0.181,0.16
3715,2,1,41,0.153,0.22
3716,4,1,41,0.513,0.13
3717,4,1,40,0.519,0.15
3718,2,1,40,0.327,0.16
3719,4,1,40,0.573,0.15
3720,1,1,40,0.085,0.19
3721,4,1,40,0.702,0.12
3722,2,1,45,0.206,0.18
3723,2,1,45,0.240,0.17
3725,3,1,44,0.377,0.16
3726,3,1,44,0.414,0.16
3727,2,1,44,0.139,0.18
3729,2,1,44,0.209,0.19
3730,2,1,43,0.285,0.18
3731,4,1,42,0.485,0.18
3734,1,1,42,0.210,0.20
3736,3,1,42,0.422,0.17
3737,4,1,42,0.583,0.17
3740,3,1,41,0.443,0.16
3741,2,1,41,0.303,0.18
3742,3,1,41,0.301,0.17
3743,3,1,41,0.456,0.16
3744,4,1,41,0.451,0.14
3745,3,1,41,0.346,0.17
3746,3,1,40,0.350,0.22
3747,4,1,40,0.444,0.16
3748,1,1,40,0.068,0.19
3749,4,1,39,0.532,0.16
3750,2,1,45,0.257,0.21
3752,1,1,44,0.317,0.14
3753,2,1,44,0.185,0.19
3754,1,1,44,0.127,0.23
3755,2,1,44,0.237,0.19
3757,3,1,44,0.302,0.18
3759,2,1,43,0.348,0.19
3761,3,1,43,0.447,0.15
3762,2,1,43,0.197,0.17
3764,1,1,43,0.040,0.21
3766,1,0,42,0.000,0.23
3768,1,1,42,0.087,0.24
3769,4,1,42,0.451,0.18
3771,3,1,41,0.419,0.16
3772,2,1,41,0.230,0.16
3773,3,1,41,0.481,0.17
3775,2,1,41,0.237,0.18
3776,2,1,40,0.266,0.18
3777,4,1,40,0.493,0.17
3778,1,0,40,0.136,0.25
3779,4,1,40,0.622,0.13
3780,4,1,40,0.434,0.15
3781,2,1,39,0.216,0.19
3782,3,1,39,0.437,0.17
3783,4,1,39,0.462,0.16
3784,4,1,39,0.491,0.16
3786,2,1,44,0.177,0.20
3787,2,1,44,0.250,0.16
3788,3,1,44,0.387,0.15
3789,2,1,43,0.220,0.20
3790,3,1,43,0.369,0.18
3791,2,1,43,0.145,0.20
3792,4,1,43,0.464,0.19
3793,3,1,43,0.366,0.14
3794,2,1,42,0.197,0.17
3795,4,1,42,0.507,0.14
3796,2,1,42,0.221,0.19
3797,3,1,42,0.345,0.18
3798,3,1,42,0.465,0.19
3799,3,1,42,0.433,0.13
3800,2,1,41,0.245,0.19
3801,3,0,41,0.522,0.17
3802,3,0,41,0.379,0.16
3804,2,1,41,0.252,0.17
3805,4,1,41,0.621,0.12
3807,2,1,41,0.247,0.17
3808,2,1,40,0.271,0.14
3809,3,1,40,0.450,0.17
3811,4,1,40,0.482,0.16
3812,2,1,39,0.247,0.18
3813,3,1,39,0.408,0.19
3814,3,1,39,0.417,0.19
3815,4,1,39,0.578,0.15
3817,2,0,38,0.160,0.24
3818,2,1,44,0.204,0.15
3819,2,1,43,0.168,0.19
3820,2,1,43,0.294,0.17
3822,4,1,43,0.420,0.17
3823,2,1,43,0.333,0.17
3824,2,1,42,0.113,0.21
3825,2,1,42,0.159,0.14
3826,4,1,42,0.558,0.18
3827,2,1,42,0.250,0.20
3828,3,1,42,0.392,0.19
3829,2,1,42,0.135,0.18
3830,1,1,41,0.060,0.24
3831,2,1,41,0.271,0.17
3832,3,1,41,0.333,0.16
3833,4,1,41,0.464,0.14
3834,3,1,41,0.341,0.18
3835,2,1,40,0.119,0.23
3837,3,1,40,0.411,0.15
3838,4,1,40,0.470,0.14
3839,3,1,40,0.387,0.17
3841,4,1,39,0.482,0.16
3842,4,1,39,0.476,0.17
3843,3,1,39,0.340,0.19
3845,4,0,39,0.493,0.18
3846,2,1,39,0.258,0.16
3847,2,1,38,0.161,0.16
3848,3,1,38,0.381,0.16
3849,4,1,38,0.586,0.12
3850,3,1,43,0.336,0.17
3851,2,1,43,0.200,0.16
3852,3,1,43,0.324,0.16
3853,3,1,43,0.396,0.20
3854,4,1,43,0.512,0.15
3855,2,1,43,0.306,0.22
3856,1,1,43,0.106,0.21
3857,3,1,42,0.348,0.18
3858,3,1,42,0.404,0.15
3859,2,1,42,0.170,0.19
3860,2,1,42,0.254,0.20
3862,2,1,41,0.451,0.16
3863,3,1,41,0.323,0.17
3864,2,1,41,0.129,0.20
3865,2,1,40,0.180,0.19
3866,2,1,40,0.163,0.16
3867,2,1,40,0.221,0.17
3868,3,1,40,0.348,0.18
3869,2,1,40,0.314,0.19
