,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
3252,7.0,5.0,157.0,0.5,17790.0,16800.0,48.0,168.0,105.89285714285714,69.9310131155132,12.0,7.142857142857142,0.6786758482732964,2.0,466.5,2710.0,9100.0,25.0,91.0,29.78021978021978,19.067551811886908,3.0,3.296703296703297,0.0,0.0,0.0
3255,7.0,5.0,158.0,0.5,17790.0,16900.0,48.0,169.0,105.26627218934912,69.07771491254697,12.0,7.100591715976331,0.674660014851561,2.0,466.5,2710.0,9000.0,25.0,90.0,30.11111111111111,20.200157017642585,3.0,3.333333333333333,0.0,0.0,0.0
3258,7.0,5.0,159.0,0.5,17370.0,16400.0,48.0,164.0,105.91463414634146,68.86134386120334,11.0,6.707317073170732,0.5101585527646801,2.0,550.6666666666667,2710.0,9000.0,25.0,90.0,30.11111111111111,19.470028788865235,3.0,3.333333333333333,0.0,0.0,0.0
3261,7.0,5.0,160.0,0.5,17790.0,16900.0,48.0,169.0,105.26627218934912,67.6315302165316,12.0,7.100591715976331,0.674660014851561,2.0,466.5,2710.0,8800.0,25.0,88.0,30.795454545454547,20.220144195495664,3.0,3.4090909090909087,0.0,0.0,0.0
3264,7.0,5.0,161.0,0.5,17370.0,16400.0,48.0,164.0,105.91463414634146,68.85347822896907,11.0,6.707317073170732,0.5101585527646801,2.0,550.6666666666667,2710.0,8500.0,25.0,85.0,31.88235294117647,22.23247118154728,3.0,3.5294117647058822,0.0,0.0,0.0
3267,7.0,5.0,162.0,0.5,17370.0,16300.0,48.0,163.0,106.56441717791412,68.60135292508429,11.0,6.748466257668712,0.5132883598368562,2.0,550.6666666666667,2710.0,8600.0,25.0,86.0,31.51162790697675,21.3282073163944,3.0,3.488372093023256,0.0,0.0,0.0
3270,7.0,5.0,163.0,0.5,17370.0,16100.0,48.0,161.0,107.88819875776396,71.9403893188254,11.0,6.832298136645963,0.5196646127540842,2.0,550.6666666666667,2710.0,8500.0,25.0,85.0,31.88235294117647,21.15638627098743,3.0,3.5294117647058822,0.0,0.0,0.0
3273,7.0,5.0,164.0,0.5,16230.0,15600.0,48.0,156.0,104.03846153846156,79.983201057013,10.0,6.41025641025641,0.6410256410256411,2.0,550.6666666666667,2710.0,8200.0,25.0,82.0,33.04878048780488,22.935777650412465,3.0,3.658536585365853,0.0,0.0,0.0
3306,7.0,7.0,91.0,0.5,38690.0,38400.0,48.0,384.0,100.75520833333331,45.56295367766575,27.0,7.03125,0.4357604304864976,2.0,678.0166666666667,9810.0,20400.0,25.0,204.0,48.088235294117645,7.324807024248788,9.0,4.411764705882353,0.4901960784313725,0.0,5.277777777777828
3311,7.0,7.0,92.0,0.58,26500.0,25800.0,48.0,258.0,102.71317829457364,39.44138047828599,20.0,7.751937984496124,0.4747073144928639,3.0,528.3333333333335,9810.0,14100.0,25.0,141.0,69.57446808510637,9.837502591193571,9.0,6.382978723404255,0.7092198581560284,0.0,5.277777777777828
3312,7.0,7.0,93.0,0.5,38030.0,37700.0,48.0,377.0,100.87533156498674,42.71831302413676,26.0,6.896551724137931,0.3458462814431113,2.0,706.195238095238,10440.0,20200.0,25.0,202.0,51.68316831683168,8.028617027186645,10.0,4.950495049504951,0.2858169649453593,0.0,-9.166666666666517
3314,7.0,7.0,93.0,0.58,26500.0,25500.0,48.0,255.0,103.921568627451,41.25498904302511,20.0,7.84313725490196,0.4802921064280742,3.0,528.3333333333335,5990.0,13600.0,25.0,136.0,44.044117647058826,14.94083006351661,7.0,5.147058823529411,0.8490445135141557,0.0,-73.33333333333337
