,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
1421,3.0,7.0,134.0,0.58,24510.0,13400.0,45.0,134.0,182.91044776119404,177.79541711672468,5.0,3.731343283582089,0.5276916277511549,2.0,0.0,660.0,5600.0,14.0,56.0,11.785714285714285,18.14529417453109,1.0,1.7857142857142856,1.030982623552903,0.0,0.0
1422,3.0,7.0,135.0,0.5,64580.0,29100.0,45.0,291.0,221.9243986254296,174.15252482850653,16.0,5.498281786941581,0.7042577846020343,3.0,430.2666666666664,2470.0,15700.0,14.0,157.0,15.73248407643312,17.367853262527806,3.0,1.910828025477707,0.6369426751592357,0.0,0.0
1423,3.0,7.0,135.0,0.54,52660.0,21700.0,45.0,217.0,242.67281105990784,169.59557803725914,13.0,5.990783410138248,0.8371383467550669,4.0,10.0,1360.0,10200.0,14.0,102.0,13.333333333333334,10.677533600492955,2.0,1.96078431372549,0.5660296756761036,0.0,0.0
1424,3.0,7.0,135.0,0.58,27330.0,13200.0,45.0,132.0,207.04545454545453,147.42635172870055,6.0,4.545454545454546,0.6338333534349057,3.0,0.0,0.0,5600.0,14.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,3.0,7.0,136.0,0.5,63290.0,28700.0,45.0,287.0,220.5226480836237,171.44985758166675,15.0,5.2264808362369335,0.7391360082089347,3.0,-186.4000000000001,2470.0,14600.0,14.0,146.0,16.91780821917808,18.81827063733666,3.0,2.054794520547945,0.684931506849315,0.0,0.0
1426,3.0,7.0,136.0,0.54,52660.0,20900.0,45.0,209.0,251.9617224880383,176.96807581493226,13.0,6.220095693779904,0.8691819198366005,4.0,10.0,660.0,9400.0,14.0,94.0,7.021276595744681,11.547005383792516,1.0,1.0638297872340423,0.6142024140315167,0.0,0.0
1427,3.0,7.0,136.0,0.58,30360.0,12600.0,45.0,126.0,240.9523809523809,151.72616557795052,8.0,6.349206349206349,0.9049011310310618,4.0,70.66666666666652,0.0,5600.0,14.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,3.0,7.0,137.0,0.5,67700.0,28300.0,45.0,283.0,239.22261484098945,147.94812014359414,16.0,5.653710247349824,0.6321040219080678,3.0,-186.39999999999964,2470.0,14400.0,14.0,144.0,17.15277777777778,18.029306425503083,3.0,2.083333333333333,0.6944444444444444,0.0,0.0
1429,3.0,7.0,137.0,0.54,49730.0,20000.0,45.0,200.0,248.65,168.2920002489188,12.0,6.0,0.7582875444051551,4.0,-3.5,660.0,9100.0,14.0,91.0,7.252747252747254,11.90784930203603,1.0,1.098901098901099,0.6344508452633251,0.0,0.0
1430,3.0,7.0,137.0,0.58,26230.0,11300.0,45.0,113.0,232.12389380530976,189.20374299169683,6.0,5.3097345132743365,0.7404071031275007,3.0,0.0,0.0,5200.0,14.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,3.0,7.0,138.0,0.5,64580.0,27400.0,45.0,274.0,235.6934306569343,176.52440953153743,16.0,5.839416058394161,0.7479526106539852,3.0,430.2666666666664,2470.0,14000.0,14.0,140.0,17.642857142857142,19.597366696784363,3.0,2.142857142857143,0.7142857142857143,0.0,0.0
1432,3.0,7.0,138.0,0.54,46630.0,19300.0,45.0,193.0,241.6062176165803,181.02899564945017,10.0,5.181347150259067,0.6345828349179217,3.0,40.66666666666652,660.0,8900.0,14.0,89.0,7.415730337078652,11.547005383792516,1.0,1.1235955056179776,0.648708167628793,0.0,0.0
1433,3.0,7.0,138.0,0.58,26230.0,11200.0,45.0,112.0,234.19642857142856,181.08239905104904,6.0,5.357142857142857,0.747017880833996,3.0,0.0,0.0,5100.0,14.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434,3.0,7.0,139.0,0.5,67700.0,27600.0,45.0,276.0,245.28985507246375,149.01771978862092,16.0,5.797101449275362,0.648135645652113,3.0,-186.39999999999964,2470.0,14300.0,14.0,143.0,17.272727272727273,18.793206370876145,3.0,2.097902097902098,0.6993006993006993,0.0,0.0
1435,3.0,7.0,139.0,0.54,46630.0,19400.0,45.0,194.0,240.360824742268,181.2783068503969,10.0,5.154639175257731,0.6313117893771079,3.0,40.66666666666652,660.0,8800.0,14.0,88.0,7.5,12.29197347306945,1.0,1.1363636363636365,0.6560798513518475,0.0,0.0
1436,3.0,7.0,139.0,0.58,26230.0,11300.0,45.0,113.0,232.12389380530976,191.6515537519995,6.0,5.3097345132743365,0.7404071031275007,3.0,0.0,0.0,5100.0,14.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,3.0,7.0,140.0,0.5,64900.0,27600.0,45.0,276.0,235.14492753623188,178.9811723140233,16.0,5.797101449275362,0.8650243758198058,3.0,-271.0,2470.0,13900.0,14.0,139.0,17.769784172661872,18.296380058749317,3.0,2.158273381294964,0.7194244604316548,0.0,0.0
1438,3.0,7.0,140.0,0.54,49730.0,19600.0,45.0,196.0,253.7244897959184,178.87015371763866,12.0,6.122448979591836,0.7737628004134235,4.0,-3.5,660.0,9100.0,14.0,91.0,7.252747252747254,11.547005383792516,1.0,1.098901098901099,0.6344508452633251,0.0,0.0
