racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3855,2,1,45,0.198,0.21
3856,1,1,45,0.125,0.19
3857,2,1,44,0.189,0.17
3858,2,1,44,0.342,0.16
3859,2,1,44,0.256,0.18
3860,2,1,44,0.300,0.19
3862,2,1,43,0.329,0.15
3863,3,1,43,0.433,0.16
3865,2,1,42,0.209,0.16
3866,2,1,42,0.246,0.16
3867,2,1,42,0.180,0.16
3868,2,1,42,0.318,0.18
3869,2,1,42,0.236,0.19
3870,2,1,42,0.296,0.17
3871,2,0,42,0.262,0.17
3872,4,1,41,0.478,0.19
3873,4,1,41,0.511,0.15
3874,4,1,41,0.567,0.18
3875,2,1,41,0.307,0.19
3876,4,1,40,0.530,0.14
3877,3,1,40,0.386,0.14
3878,2,1,40,0.323,0.15
3879,2,1,45,0.192,0.21
3880,2,1,44,0.279,0.17
3881,2,1,44,0.312,0.16
3882,3,1,44,0.370,0.15
3883,2,1,44,0.232,0.16
3884,2,1,44,0.114,0.19
3885,2,1,43,0.293,0.19
3888,4,1,42,0.584,0.14
3889,2,1,42,0.243,0.16
3890,3,1,42,0.321,0.18
3891,2,1,42,0.148,0.17
3892,3,1,41,0.383,0.18
3893,3,1,41,0.340,0.15
3894,3,0,41,0.428,0.15
3895,2,1,41,0.304,0.16
3896,2,1,41,0.301,0.20
3897,4,1,41,0.547,0.14
3898,4,1,41,0.515,0.16
3900,3,0,40,0.419,0.17
3901,4,1,40,0.520,0.17
3902,3,1,40,0.333,0.19
3903,1,1,40,0.000,0.00
3904,3,1,40,0.427,0.18
3905,3,1,40,0.300,0.17
3906,3,1,40,0.447,0.17
3907,4,1,39,0.535,0.17
3908,4,1,39,0.432,0.16
3909,4,1,44,0.535,0.15
3910,2,1,44,0.260,0.20
3911,3,1,44,0.333,0.15
3912,3,1,43,0.366,0.17
3915,3,1,43,0.317,0.19
3916,2,1,43,0.185,0.19
3918,3,1,43,0.391,0.16
3919,4,1,43,0.486,0.16
3920,4,1,43,0.566,0.15
3921,3,1,42,0.350,0.16
3922,2,1,42,0.261,0.20
3924,1,1,42,0.090,0.23
3925,2,1,42,0.281,0.20
3926,2,1,42,0.213,0.20
3928,2,1,42,0.225,0.17
3929,3,1,42,0.348,0.16
3930,3,1,41,0.422,0.14
3931,3,1,41,0.396,0.14
3932,2,0,41,0.322,0.17
3933,4,1,41,0.462,0.18
3934,3,1,40,0.422,0.15
3935,3,1,40,0.339,0.17
3936,2,1,40,0.263,0.18
3939,4,1,39,0.530,0.17
3940,4,1,39,0.587,0.13
3941,4,1,39,0.508,0.14
3942,4,1,39,0.608,0.15
3943,2,0,39,0.196,0.19
3944,4,1,38,0.463,0.17
3945,2,1,42,0.263,0.20
3946,4,1,41,0.511,0.15
3947,2,1,41,0.322,0.17
3948,2,1,41,0.316,0.17
3949,2,1,41,0.226,0.16
3950,2,1,41,0.315,0.17
3951,2,1,41,0.358,0.18
3952,4,1,41,0.564,0.15
3953,2,1,41,0.335,0.19
3955,4,1,40,0.411,0.18
3956,4,1,40,0.516,0.17
3957,3,1,40,0.351,0.20
3959,4,1,40,0.481,0.16
3960,4,1,39,0.416,0.11
3961,4,1,39,0.391,0.15
3963,4,1,38,0.483,0.16
3964,2,1,38,0.163,0.19
3965,2,1,38,0.351,0.16
3966,4,1,38,0.496,0.17
3967,3,1,38,0.345,0.18
3968,3,1,41,0.340,0.21
3970,2,1,41,0.250,0.17
3973,2,1,41,0.206,0.17
3974,2,1,41,0.213,0.17
3975,3,1,40,0.400,0.17
3976,2,1,40,0.234,0.16
3977,3,1,40,0.395,0.16
3978,4,1,40,0.475,0.15
3979,1,1,40,0.062,0.19
3980,2,1,40,0.238,0.17
3981,3,1,40,0.404,0.12
3982,2,1,40,0.235,0.17
3983,4,1,40,0.492,0.15
3984,4,1,40,0.526,0.16
3986,3,1,39,0.338,0.15
3987,4,1,39,0.604,0.14
3988,3,1,39,0.356,0.17
3989,2,1,39,0.186,0.22
3990,3,1,39,0.423,0.14
3992,3,1,39,0.370,0.14
3993,1,0,38,0.648,0.15
3994,3,0,38,0.423,0.19
3995,4,1,38,0.509,0.15
3996,4,1,38,0.578,0.18
3997,4,1,38,0.563,0.16
3998,2,1,38,0.314,0.18
3999,4,0,38,0.490,0.16
4000,3,1,40,0.411,0.17
4002,4,1,40,0.538,0.17
4003,2,1,40,0.299,0.18
4004,2,1,39,0.309,0.19
4005,2,1,39,0.195,0.17
4006,3,1,39,0.435,0.19
4007,2,1,38,0.250,0.13
4008,1,1,38,0.318,0.19
4009,3,1,38,0.432,0.13
4010,2,1,38,0.169,0.17
4011,4,0,38,0.491,0.18
4012,3,1,38,0.417,0.16
4013,4,1,38,0.471,0.15
4014,3,0,38,0.350,0.17
4015,3,1,38,0.450,0.16
4016,3,1,38,0.342,0.16
4017,2,0,37,0.291,0.16
4019,4,1,37,0.466,0.15
4020,3,1,37,0.378,0.19
4021,2,1,37,0.301,0.13
4022,2,1,37,0.363,0.16
4023,2,1,40,0.224,0.18
4024,4,1,40,0.511,0.11
4025,4,1,40,0.554,0.16
4026,2,1,40,0.202,0.19
4027,3,1,39,0.415,0.19
4028,4,1,39,0.614,0.15
4030,4,1,39,0.477,0.15
4031,2,1,39,0.360,0.16
4033,4,1,39,0.506,0.13
4034,2,1,39,0.233,0.21
4035,2,1,39,0.215,0.20
4036,4,1,39,0.561,0.17
4037,3,1,39,0.454,0.17
4038,2,1,39,0.226,0.18
4039,3,1,39,0.357,0.15
4040,2,1,38,0.333,0.16
4041,2,1,38,0.226,0.20
4042,4,1,38,0.553,0.17
4043,4,1,38,0.514,0.16
4044,4,1,38,0.559,0.16
4045,3,0,38,0.417,0.15
4046,2,1,38,0.150,0.18
4047,3,1,37,0.344,0.18
4049,4,1,37,0.490,0.17
4050,4,0,36,0.641,0.14
4051,3,1,36,0.486,0.20
4052,4,1,36,0.479,0.14
4053,3,1,39,0.417,0.15
4054,2,1,39,0.223,0.14
4055,4,1,39,0.461,0.12
4056,2,1,39,0.333,0.16
4057,3,1,38,0.464,0.17
4058,2,1,38,0.373,0.23
4059,3,1,38,0.385,0.16
4060,2,1,38,0.294,0.18
4061,4,1,38,0.612,0.14
4062,2,1,38,0.384,0.17
4063,4,1,38,0.613,0.13
4064,4,1,38,0.432,0.17
4065,3,0,38,0.440,0.17
4066,4,1,37,0.544,0.14
4067,3,1,37,0.447,0.17
4068,2,1,37,0.357,0.15
4069,3,1,37,0.406,0.16
4070,4,1,37,0.641,0.14
4071,2,0,37,0.228,0.18
4072,4,1,36,0.584,0.15
4073,4,1,36,0.526,0.16
4074,4,1,36,0.500,0.13
4075,4,1,36,0.476,0.15
4076,4,1,39,0.425,0.22
4077,2,1,39,0.277,0.18
4078,2,1,39,0.171,0.22
4079,3,1,39,0.427,0.14
4080,4,1,38,0.524,0.12
4081,2,1,38,0.238,0.21
4082,3,1,38,0.442,0.16
4083,4,1,38,0.512,0.16
4084,4,1,38,0.393,0.17
